"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2386","Login test with JSON Data: Blank email and password @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","2632","Login test with CSV Data: Invalid login 1 @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","2708","Login test with CSV Data: Blank password @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","2675","Login test with JSON Data: Blank email @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","12203","Execute end-to-end test flow @end-to-end","chromium","2025-12-27","passed","2025-12-27","","EndToEndTest.spec.ts","",""
"","2784","Login test with CSV Data: Invalid login 2 @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","2566","Login test with CSV Data: Blank email @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","5199","Add product to the cart test @master, @regression","chromium","2025-12-27","passed","2025-12-27","","AddToCart.spec.ts","",""
"","2340","Login test with JSON Data: Blank password @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","5660","Login test with JSON Data: Invalid login 1 @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","4899","User logout test @master, @regression","chromium","2025-12-27","passed","2025-12-27","","Logout.spec.ts","",""
"","2518","Login test with CSV Data: Valid login @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","5668","Login test with JSON Data: Valid login @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","9910","User registrationm test","chromium","2025-12-27","passed","2025-12-27","","AccountRegistration.spec.ts","",""
"","13738","User registrationm test @master, @sanity, @regression","chromium","2025-12-28","passed","2025-12-28","","AccountRegistration.spec.ts","",""
"","2887","Product search test @master, @regression","chromium","2025-12-27","passed","2025-12-27","","SearchProduct.spec.ts","",""
"","2808","Login test with JSON Data: Invalid login 2 @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
"","3136","Login test with CSV Data: Blank email and password @datadriven","chromium","2025-12-27","failed","2025-12-27","","LoginDDT.spec.ts","",""
"","3441","User login test @master, @sanity, @regression","chromium","2025-12-28","passed","2025-12-28","","Login.spec.ts","",""
"","2433","Login test with CSV Data: Invalid login @datadriven","chromium","2025-12-27","passed","2025-12-27","","LoginDDT.spec.ts","",""
